user_id,country,age,gender,subscription_type,avg_listening_hours_per_week,total_songs_played,skip_rate,satisfaction_score,churned,monthly_fee,join_date,skip_rate_pct,tenure_days
U1403,Nepal,23,female,premium,11.5,510,0.2,2.0,0,7.99,2024-03-21,,613.0
U1165,Nepal,63,male,student,11.3,526,0.2,3.0,0,0.0,2023-08-10,,837.0
U1474,USA,45,female,premium,2.0,476,0.2,3.0,0,7.99,2022-04-05,,1329.0
U1478,Nigeria,16,female,family,12.1,529,0.2,5.0,1,12.99,2023-12-16,,709.0
U1609,Ghana,29,male,free,6.4,477,0.2,3.0,0,7.99,2022-03-28,0.2,1337.0
U1691,United Kingdom,16,female,student,11.0,548,0.2,3.0,0,9.99,2022-04-25,,1309.0
U1262,Nigeria,59,unknown,free,7.4,502,0.2,1.0,1,9.99,,,975.5
U1490,United Kingdom,57,female,premium,11.3,476,0.2,3.0,0,7.99,2022-01-12,,1412.0
U1514,IND,23,female,studnt,21.5,514,0.2,3.0,0,9.99,2022-12-02,,1088.0
U1412,USA,41,male,premium,7.5,494,0.2,1.0,0,7.99,2022-10-24,0.2,1127.0
U1503,Nigeria,39,male,family,18.7,482,0.2,5.0,0,5.0,,0.2,975.5
U1158,Kenya,64,male,student,7.6,440,0.2,5.0,0,7.99,2022-09-05,,1176.0
U1387,United Kingdom,49,female,free,11.2,508,0.2,5.0,1,9.99,2022-05-02,,1302.0
U1120,Ghana,46,male,student,11.2,509,0.2,5.0,1,9.99,2023-02-15,0.2,1013.0
U1258,USA,59,female,premium,3.7,507,0.2,4.0,1,7.99,,,975.5
U1574,Ghana,38,female,fam,1.5,458,0.2,1.0,1,7.99,2023-09-17,,799.0
U1149,Nigeria,50,male,free,11.8,527,0.2,2.0,0,7.99,2024-06-29,,513.0
U1508,UK,48,female,fam,8.7,511,0.2,4.0,1,0.0,2022-09-18,,1163.0
U1304,Nepal,18,female,fam,9.5,454,0.2,1.0,0,9.99,2024-10-06,,414.0
U1107,South Africa,33,unknown,premium,14.6,512,0.2,2.0,0,0.0,2023-02-03,,1025.0
U1568,Nigeria,33,unknown,premium,11.0,522,0.2,3.0,1,7.99,,,975.5
U1116,IND,13,male,studnt,10.4,478,0.2,3.0,0,9.99,,,975.5
U1424,U.K.,26,female,studnt,9.5,498,0.2,3.0,0,9.99,2022-11-10,,1110.0
U1038,United Kingdom,48,male,free,6.7,485,0.2,2.0,0,9.99,2023-02-21,,1007.0
U1649,Kenya,16,female,fam,4.5,482,0.2,1.0,0,7.99,2023-09-09,,807.0
U1347,Nepal,20,male,fam,10.5,478,0.2,4.0,0,12.99,2022-09-28,,1153.0
U1129,Kenya,24,female,fam,7.8,486,0.2,3.0,0,12.99,2022-09-01,,1180.0
U1161,India,36,female,free,9.2,481,0.2,3.0,0,7.99,2022-09-27,,1154.0
U1432,Nigeria,52,female,free,8.0,496,0.2,1.0,0,7.99,2022-11-12,,1108.0
U1097,USA,17,male,family,7.8,473,0.2,1.0,0,5.0,2023-09-22,,794.0
U1673,USA,20,female,studnt,15.2,517,0.2,1.0,0,5.0,2024-05-21,,552.0
U1561,Nigeria,58,male,premium,7.5,524,0.1,1.0,1,7.99,2023-05-18,0.1,921.0
U1033,Brazil,24,male,studnt,10.9,500,0.2,2.0,0,5.0,,,975.5
U1150,Nigeria,62,male,premium,12.8,459,0.2,5.0,0,7.99,,,975.5
U1452,Nepal,63,male,fam,10.7,528,0.2,4.0,0,7.99,,,975.5
U1382,U.K.,25,other,premium,9.0,442,0.2,5.0,0,9.99,,,975.5
U1340,United Kingdom,61,other,studnt,6.9,519,0.2,2.0,1,12.99,,,975.5
U1086,USA,46,female,fam,10.5,520,0.2,3.0,0,5.0,2023-04-13,,956.0
U1021,USA,43,male,fam,12.3,535,0.2,5.0,1,9.99,,,975.5
U1136,Brazil,60,female,fam,3.7,482,0.2,3.0,0,7.99,2023-02-03,,1025.0
U1173,USA,29,male,family,12.5,475,0.2,4.0,1,7.99,,,975.5
U1615,India,40,male,premium,7.7,493,0.2,2.0,0,7.99,2022-07-09,,1234.0
U1543,USA,54,male,fam,6.7,542,0.2,5.0,0,9.99,2024-02-07,,656.0
U1247,U.K.,40,other,fam,3.2,507,0.2,3.0,0,12.99,2022-07-09,,1234.0
U1133,USA,42,other,studnt,14.4,491,0.2,1.0,0,9.99,2023-05-08,,931.0
U1373,IND,45,female,studnt,13.3,530,0.2,4.0,0,7.99,2023-12-05,,720.0
U1511,Nigeria,39,unknown,free,10.7,531,0.2,2.0,1,9.99,,,975.5
U1618,IND,19,male,student,10.0,472,0.2,1.0,0,7.99,2022-09-24,,1157.0
U1281,Nigeria,25,unknown,family,4.5,483,0.2,3.0,0,7.99,2023-01-09,,1050.0
U1454,United Kingdom,63,female,free,11.3,492,0.2,1.0,0,9.99,2022-09-09,,1172.0
U1283,Kenya,37,male,studnt,7.1,490,0.2,3.0,0,0.0,2022-02-18,0.2,1375.0
U1006,Nigeria,33,other,student,4.6,518,0.2,3.0,0,9.99,,,975.5
U1616,United Kingdom,52,unknown,family,9.8,507,0.2,3.0,0,7.99,2022-03-20,0.2,1345.0
U1308,India,57,other,free,4.4,513,0.2,1.0,0,7.99,2022-03-11,0.2,1354.0
U1201,South Africa,41,unknown,fam,3.0,529,0.2,3.0,0,7.99,2023-08-08,,839.0
U1096,USA,43,female,premium,1.5,520,0.2,5.0,0,12.99,,,975.5
U1386,Nigeria,13,male,free,11.0,510,0.2,2.0,0,9.99,2024-01-22,0.2,672.0
U1034,Brazil,36,female,student,8.9,471,0.2,4.0,0,0.0,,,975.5
U1044,IND,49,male,premium,12.5,532,0.2,5.0,0,0.0,2023-11-08,,747.0
U1694,USA,33,female,family,14.8,488,0.2,3.0,0,9.99,,,975.5
U1686,USA,26,other,student,15.8,494,0.2,2.0,0,7.99,2023-04-25,,944.0
U1429,Ghana,54,unknown,free,6.0,480,0.2,2.0,0,9.99,2024-08-01,0.2,480.0
U1484,IND,45,female,studnt,10.4,479,0.2,3.0,0,12.99,,,975.5
U1426,Kenya,16,female,premium,10.2,523,0.2,4.0,0,7.99,,,975.5
U1695,UK,26,other,free,15.5,504,0.1,5.0,1,0.0,,0.1,975.5
U1390,U.K.,21,male,free,11.3,506,0.2,3.0,0,9.99,2022-08-05,0.2,1207.0
U1152,United Kingdom,30,unknown,family,7.0,494,0.2,3.0,1,9.99,2022-07-11,0.2,1232.0
U1378,IND,35,unknown,premium,7.3,526,0.2,4.0,1,7.99,2023-03-10,,990.0
U1074,Nepal,44,female,studnt,7.5,494,0.2,3.0,0,12.99,,,975.5
U1335,United Kingdom,40,male,fam,10.4,490,0.1,3.0,0,5.0,,0.1,975.5
U1551,USA,52,female,premium,7.3,516,0.2,3.0,1,0.0,,,975.5
U1565,Ghana,63,unknown,premium,15.8,463,0.2,3.0,0,7.99,2024-07-01,,511.0
U1487,IND,43,male,fam,10.2,474,0.2,4.0,0,7.99,2023-02-23,,1005.0
U1670,Nepal,15,male,fam,9.9,485,0.2,4.0,1,5.0,2023-07-02,,876.0
U1685,India,36,female,premium,17.5,490,0.2,3.0,0,5.0,,,975.5
U1242,UK,27,unknown,fam,7.8,525,0.2,5.0,1,7.99,2022-09-06,,1175.0
U1466,Nigeria,45,male,student,13.3,504,0.2,3.0,0,0.0,2022-04-25,,1309.0
U1180,USA,25,female,premium,10.2,542,0.1,5.0,0,0.0,2022-12-11,0.1,1079.0
U1094,Ghana,29,male,studnt,15.8,481,0.2,5.0,0,5.0,2024-08-17,0.2,464.0
U1410,Ghana,52,female,premium,9.5,513,0.2,5.0,0,9.99,2023-09-04,,812.0
U1079,Nigeria,38,female,studnt,13.8,519,0.1,2.0,0,9.99,2023-04-10,0.1,959.0
U1250,Brazil,36,female,studnt,19.3,530,0.2,2.0,0,7.99,2023-02-10,,1018.0
U1407,Nigeria,47,male,fam,0.2,511,0.2,1.0,0,0.0,2022-11-06,,1114.0
U1041,India,62,other,free,10.3,466,0.2,1.0,0,7.99,,,975.5
U1632,Nigeria,42,female,free,12.6,497,0.2,3.0,1,7.99,2022-06-04,,1269.0
U1656,U.K.,22,female,family,7.8,505,0.2,3.0,1,9.99,2023-02-06,,1022.0
U1211,USA,34,female,premium,5.9,489,0.2,2.0,0,9.99,,,975.5
U1611,USA,53,unknown,premium,4.1,503,0.1,4.0,0,9.99,,0.1,975.5
U1356,IND,31,male,premium,5.1,495,0.2,5.0,0,5.0,2022-12-09,,1081.0
U1583,UK,19,male,free,14.2,512,0.2,3.0,0,7.99,2022-05-07,,1297.0
U1313,Nepal,33,female,family,11.7,469,0.2,3.0,0,9.99,2024-08-04,,477.0
U1617,Nigeria,61,male,premium,4.3,482,0.1,3.0,0,9.99,,0.1,975.5
U1205,Ghana,31,male,free,4.4,486,0.2,3.0,1,9.99,2022-05-01,,1303.0
U1365,IND,26,female,family,16.8,513,0.2,4.0,0,9.99,2024-08-07,,474.0
U1567,India,27,female,premium,1.3,480,0.2,1.0,0,7.99,,0.2,975.5
U1249,Nepal,26,male,studnt,12.9,464,0.2,2.0,0,5.0,2022-07-31,,1212.0
U1292,USA,59,female,premium,8.5,525,0.2,3.0,0,7.99,,,975.5
U1689,Kenya,55,male,family,15.0,534,0.2,4.0,1,0.0,2022-12-19,,1071.0
U1453,India,51,female,premium,15.5,502,0.2,2.0,0,9.99,2022-12-15,,1075.0
U1434,Nepal,51,female,family,7.5,487,0.2,3.0,0,9.99,2022-11-26,,1094.0
U1376,UK,22,male,fam,8.7,533,0.1,2.0,1,12.99,2022-05-02,0.1,1302.0
,UK,50,female,student,0.9,533,0.2,4.0,0,0.0,2022-05-07,,1297.0
U1448,USA,14,male,premium,5.2,523,0.2,4.0,0,0.0,,0.2,975.5
U1489,Kenya,48,female,premium,15.8,493,0.2,5.0,1,5.0,2023-12-10,0.2,715.0
U1196,IND,37,male,premium,14.1,528,0.2,2.0,1,7.99,2022-01-03,,1421.0
