user_id,country,age,gender,subscription_type,avg_listening_hours_per_week,total_songs_played,skip_rate,satisfaction_score,churned,monthly_fee,join_date,skip_rate_pct,tenure_days
U1403,Nepal,23,female,premium,11.5,510,5%,2.0,0,7.99,2024-03-21,5.0,614.0
U1165,Nepal,63,male,student,11.3,526,5%,3.0,0,0.0,2023-08-10,5.0,838.0
U1474,Usa,45,female,premium,2.0,476,30%,3.0,0,7.99,2022-04-05,30.0,1330.0
U1478,Nigeria,16,female,family,12.1,529,20%,5.0,1,12.99,2023-12-16,20.0,710.0
U1609,Ghana,29,male,free,6.4,477,0.2,3.0,0,7.99,2022-03-28,20.0,1338.0
U1691,United Kingdom,16,female,student,11.0,548,30%,3.0,0,9.99,2022-04-25,30.0,1310.0
U1262,Nigeria,59,unknown,free,7.4,502,25%,1.0,1,9.99,,25.0,978.0
U1490,United Kingdom,57,female,premium,11.3,476,30%,3.0,0,7.99,2022-01-12,30.0,1413.0
U1514,Ind,23,female,student,21.5,514,15%,3.0,0,9.99,2022-12-02,15.0,1089.0
U1412,Usa,41,male,premium,7.5,494,0.2,1.0,0,7.99,2022-10-24,20.0,1128.0
U1503,Nigeria,39,male,family,18.7,482,0.2,5.0,0,5.0,,20.0,978.0
U1158,Kenya,64,male,student,7.6,440,10%,5.0,0,7.99,2022-09-05,10.0,1177.0
U1387,United Kingdom,49,female,free,11.2,508,10%,5.0,1,9.99,2022-05-02,10.0,1303.0
U1120,Ghana,46,male,student,11.2,509,0.2,5.0,1,9.99,2023-02-15,20.0,1014.0
U1258,Usa,59,female,premium,3.7,507,30%,4.0,1,7.99,,30.0,978.0
U1574,Ghana,38,female,family,1.5,458,5%,1.0,1,7.99,2023-09-17,5.0,800.0
U1149,Nigeria,50,male,free,11.8,527,5%,2.0,0,7.99,2024-06-29,5.0,514.0
U1508,Uk,48,female,family,8.7,511,30%,4.0,1,0.0,2022-09-18,30.0,1164.0
U1304,Nepal,18,female,family,9.5,454,10%,1.0,0,9.99,2024-10-06,10.0,415.0
U1107,South Africa,33,unknown,premium,14.6,512,30%,2.0,0,0.0,2023-02-03,30.0,1026.0
U1568,Nigeria,33,unknown,premium,11.0,522,20%,3.0,1,7.99,,20.0,978.0
U1116,Ind,13,male,student,10.4,478,5%,3.0,0,9.99,,5.0,978.0
U1424,U.K.,26,female,student,9.5,498,10%,3.0,0,9.99,2022-11-10,10.0,1111.0
U1038,United Kingdom,48,male,free,6.7,485,15%,2.0,0,9.99,2023-02-21,15.0,1008.0
U1649,Kenya,16,female,family,4.5,482,ten,1.0,0,7.99,2023-09-09,20.0,808.0
U1347,Nepal,20,male,family,10.5,478,20%,4.0,0,12.99,2022-09-28,20.0,1154.0
U1129,Kenya,24,female,family,7.8,486,30%,3.0,0,12.99,2022-09-01,30.0,1181.0
U1161,India,36,female,free,9.2,481,10%,3.0,0,7.99,2022-09-27,10.0,1155.0
U1432,Nigeria,52,female,free,8.0,496,25%,1.0,0,7.99,2022-11-12,25.0,1109.0
U1097,Usa,17,male,family,7.8,473,25%,1.0,0,5.0,2023-09-22,25.0,795.0
U1673,Usa,20,female,student,15.2,517,10%,1.0,0,5.0,2024-05-21,10.0,553.0
U1561,Nigeria,58,male,premium,7.5,524,0.1,1.0,1,7.99,2023-05-18,10.0,922.0
U1033,Brazil,24,male,student,10.9,500,5%,2.0,0,5.0,,5.0,978.0
U1150,Nigeria,62,male,premium,12.8,459,30%,5.0,0,7.99,,30.0,978.0
U1452,Nepal,63,male,family,10.7,528,20%,4.0,0,7.99,,20.0,978.0
U1382,U.K.,25,other,premium,9.0,442,20%,5.0,0,9.99,,20.0,978.0
U1340,United Kingdom,61,other,student,6.9,519,15%,2.0,1,12.99,,15.0,978.0
U1086,Usa,46,female,family,10.5,520,ten,3.0,0,5.0,2023-04-13,20.0,957.0
U1021,Usa,43,male,family,12.3,535,ten,5.0,1,9.99,,20.0,978.0
U1136,Brazil,60,female,family,3.7,482,30%,3.0,0,7.99,2023-02-03,30.0,1026.0
U1173,Usa,29,male,family,12.5,475,10%,4.0,1,7.99,,10.0,978.0
U1615,India,40,male,premium,7.7,493,20%,2.0,0,7.99,2022-07-09,20.0,1235.0
U1543,Usa,54,male,family,6.7,542,20%,5.0,0,9.99,2024-02-07,20.0,657.0
U1247,U.K.,40,other,family,3.2,507,ten,3.0,0,12.99,2022-07-09,20.0,1235.0
U1133,Usa,42,other,student,14.4,491,5%,1.0,0,9.99,2023-05-08,5.0,932.0
U1373,Ind,45,female,student,13.3,530,20%,4.0,0,7.99,2023-12-05,20.0,721.0
U1511,Nigeria,39,unknown,free,10.7,531,25%,2.0,1,9.99,,25.0,978.0
U1618,Ind,19,male,student,10.0,472,ten,1.0,0,7.99,2022-09-24,20.0,1158.0
U1281,Nigeria,25,unknown,family,4.5,483,10%,3.0,0,7.99,2023-01-09,10.0,1051.0
U1454,United Kingdom,63,female,free,11.3,492,10%,1.0,0,9.99,2022-09-09,10.0,1173.0
